5,17,44,28,74,34,60,8,19,84,168,205,-37,1
14,41,71,100,110,93,83,40,27,106,336,349,-13,1
74,16,84,12,9,13,63,40,104,48,195,268,-73,1
102,46,80,26,22,14,5,77,86,106,276,288,-12,0
32,25,89,56,38,42,80,6,106,101,240,335,-95,1
50,106,52,12,104,1,120,37,18,70,324,246,78,1
114,2,111,57,44,8,104,9,14,21,328,156,172,0
70,93,7,119,14,33,51,74,100,48,303,306,-3,1
84,4,35,103,79,45,8,63,86,47,305,249,56,1
8,99,14,74,91,41,26,35,75,22,286,199,87,1
14,17,74,98,7,91,26,10,104,51,210,282,-72,0
101,48,75,32,51,30,104,25,16,6,307,181,126,1
90,61,16,77,71,44,84,28,120,105,315,381,-66,1
60,14,90,89,22,76,20,84,6,48,275,234,41,1
12,61,87,7,26,39,72,80,111,23,193,325,-132,0
36,26,8,31,40,71,10,68,7,77,141,233,-92,1
93,120,104,30,101,14,41,43,64,105,448,267,181,0
106,36,68,18,14,104,28,59,41,6,242,238,4,0
50,14,121,41,34,56,106,120,16,1,260,299,-39,0
44,34,60,22,13,21,14,9,41,74,173,159,14,1
32,76,20,44,50,7,74,8,114,2,222,205,17,1
32,50,44,2,40,35,70,110,74,14,168,303,-135,1
14,75,42,86,32,114,35,22,7,9,249,187,62,1
35,98,5,21,102,86,69,72,52,4,261,283,-22,1
26,114,93,99,22,19,14,44,82,2,354,161,193,1
37,21,90,82,42,60,9,5,93,56,272,223,49,1
111,59,23,84,40,92,83,6,104,66,317,351,-34,0
40,1,11,26,13,47,110,9,85,8,91,259,-168,0
83,23,56,44,71,86,52,41,75,62,277,316,-39,1
32,17,8,25,30,62,84,34,101,50,112,331,-219,1
129,93,86,75,1,44,74,13,84,7,384,222,162,0
42,119,102,17,86,82,26,22,9,93,366,232,134,1
89,57,7,73,18,25,20,83,70,35,244,233,11,1
30,72,14,104,35,99,97,82,41,110,255,429,-174,1
102,40,87,18,101,104,64,50,38,4,348,260,88,0
12,108,119,75,9,63,6,30,20,97,323,216,107,1
54,13,50,110,16,101,64,12,56,90,243,323,-80,0
74,12,14,26,32,23,4,38,5,9,158,79,79,0
86,121,99,8,14,17,78,104,84,42,328,325,3,1
73,16,14,9,35,104,22,84,111,74,147,395,-248,0
6,76,108,26,14,61,29,22,95,9,230,216,14,1
43,75,50,7,23,41,107,21,28,101,198,298,-100,0
8,61,52,77,32,71,90,82,13,21,230,277,-47,1
120,14,75,76,104,114,44,48,108,53,389,367,22,1
27,100,63,101,81,86,6,22,108,96,372,318,54,1
98,106,74,41,86,79,76,11,72,14,405,252,153,1
33,119,9,15,93,11,120,106,5,14,269,256,13,1
9,62,35,105,70,14,72,112,27,36,281,261,20,0
44,75,121,25,91,73,114,74,83,59,356,403,-47,1
17,8,90,108,121,9,104,43,1,27,344,184,160,0
14,73,75,110,17,6,59,29,111,28,289,233,56,0
7,14,6,26,11,74,58,13,54,50,64,249,-185,1
29,2,73,66,112,11,42,49,102,37,282,241,41,0
41,22,74,64,104,6,42,90,14,44,305,196,109,0
50,91,49,99,35,93,26,14,105,101,324,339,-15,0
111,84,10,52,104,92,74,50,25,62,361,303,58,1
102,42,100,59,5,14,101,46,1,107,308,269,39,1
107,4,14,31,76,1,5,57,59,111,232,233,-1,1
59,14,62,53,94,101,102,84,63,114,282,464,-182,0
46,87,114,86,102,96,54,14,121,74,435,359,76,1
85,76,54,104,25,46,75,7,14,10,344,152,192,0
37,84,6,38,76,102,106,90,9,72,241,379,-138,0
7,14,84,106,32,22,76,42,120,89,243,349,-106,1
98,34,27,53,26,110,67,10,7,102,238,296,-58,1
74,52,27,54,104,86,44,61,23,9,311,223,88,1
50,32,28,21,100,101,104,76,62,90,231,433,-202,1
46,67,8,16,52,105,68,81,101,89,189,444,-255,0
112,76,95,84,120,4,60,90,101,27,487,282,205,0
104,25,111,89,114,28,105,23,34,18,443,208,235,0
106,72,99,90,27,30,129,60,58,120,394,397,-3,1
106,14,10,7,5,104,41,86,25,68,142,324,-182,1
46,101,41,30,16,48,7,14,63,10,234,142,92,1
76,14,91,98,32,12,112,9,35,43,311,211,100,1
75,106,48,68,41,19,5,14,6,92,338,136,202,0
99,25,22,90,106,114,64,20,17,23,342,238,104,0
84,42,50,14,25,105,64,2,22,93,215,286,-71,1
30,63,29,74,15,60,21,14,8,86,211,189,22,1
104,93,34,16,86,68,14,75,84,56,333,297,36,0
20,7,9,17,41,86,36,93,84,32,94,331,-237,0
32,82,81,121,107,44,74,104,34,26,423,282,141,1
23,70,26,65,104,49,62,27,6,14,288,158,130,1
62,33,74,46,106,28,95,104,44,111,321,382,-61,0
1,32,77,28,30,120,8,26,22,14,168,190,-22,1
62,93,9,31,108,5,23,32,48,28,303,136,167,1
92,44,50,25,97,20,76,74,28,6,308,204,104,1
71,6,53,17,44,67,25,56,14,68,191,230,-39,1
99,59,6,25,9,22,120,41,79,83,198,345,-147,1
61,16,50,114,68,17,2,112,54,91,309,276,33,1
111,14,102,8,25,112,85,54,110,74,260,435,-175,1
41,84,7,4,9,23,44,14,28,64,145,173,-28,1
3,76,32,37,6,91,36,63,104,77,154,371,-217,1
62,69,21,106,52,60,47,101,73,40,310,321,-11,1
90,14,60,52,34,82,25,78,93,110,250,388,-138,1
98,27,46,65,109,120,18,26,7,96,345,267,78,1
28,112,5,52,99,17,119,41,101,81,296,359,-63,1
86,114,74,9,110,60,87,85,46,21,393,299,94,0
44,55,22,56,37,90,62,86,19,67,214,324,-110,0
9,120,47,54,25,32,64,8,2,22,255,128,127,1
2,21,76,18,99,78,32,87,56,55,216,308,-92,1
26,64,72,76,114,104,34,50,20,68,352,276,76,1
67,27,76,129,85,61,96,72,84,26,384,339,45,0
41,102,5,32,60,86,93,25,21,7,240,232,8,1
75,90,42,60,61,21,74,35,87,41,328,258,70,1
22,23,16,8,5,60,74,9,90,72,74,305,-231,0
68,84,49,63,119,56,7,11,51,14,383,139,244,1
86,75,87,74,53,51,23,31,1,7,375,113,262,0
79,12,26,20,59,14,77,86,9,72,196,258,-62,1
51,50,41,34,62,87,73,81,44,40,238,325,-87,1
8,75,29,64,14,3,93,103,84,17,190,300,-110,1
34,74,42,90,104,25,41,22,31,2,344,121,223,1
86,22,4,18,6,112,68,83,93,42,136,398,-262,0
113,20,44,75,100,22,9,108,41,23,352,203,149,1
17,7,90,110,72,31,22,48,86,54,296,241,55,1
119,22,5,51,74,30,76,7,3,93,271,209,62,0
41,45,75,25,101,88,9,68,129,23,287,317,-30,1
39,8,60,25,75,114,76,23,9,37,207,259,-52,0
50,59,64,111,21,54,45,89,26,14,305,228,77,1
37,32,101,23,6,48,5,29,73,14,199,169,30,0
14,75,41,74,121,60,90,25,76,8,325,259,66,0
4,14,8,50,104,32,93,5,28,21,180,179,1,1
14,16,1,45,11,37,56,4,9,57,87,163,-76,0
47,36,41,90,14,29,97,44,64,27,228,261,-33,1
9,72,17,29,87,55,105,23,74,18,214,275,-61,1
2,74,42,68,9,41,105,64,25,104,195,339,-144,1
1,25,74,110,112,60,5,14,101,46,322,226,96,0
45,9,4,85,2,104,90,82,72,101,145,449,-304,0
102,6,5,78,74,97,7,10,101,9,265,224,41,1
8,104,27,101,16,111,4,97,51,59,256,322,-66,0
104,54,119,86,39,82,14,105,22,4,402,227,175,0
23,32,15,46,86,36,56,62,25,9,202,188,14,0
52,97,37,100,3,56,62,113,44,120,289,395,-106,1
102,35,25,7,41,114,11,74,10,62,210,271,-61,0
14,60,113,37,77,75,104,1,73,25,301,278,23,1
67,23,14,21,33,63,42,99,41,39,158,284,-126,1
38,7,103,93,16,2,33,14,47,48,257,144,113,0
68,100,106,53,107,56,79,9,10,14,434,168,266,0
1,84,25,22,27,8,110,26,52,73,159,269,-110,1
41,16,4,106,25,15,31,39,14,9,192,108,84,1
21,41,64,84,110,76,60,85,6,86,320,313,7,1
48,39,84,71,104,5,43,93,51,81,346,273,73,1
19,119,45,31,12,97,8,23,110,34,226,272,-46,1
96,5,48,9,6,12,102,46,27,85,164,272,-108,0
119,32,21,7,22,27,11,6,72,47,201,163,38,1
25,74,42,104,121,21,9,47,87,41,366,205,161,0
26,93,99,61,14,6,83,90,114,65,293,358,-65,1
110,93,76,85,111,108,59,8,97,105,475,377,98,0
83,40,52,21,93,9,10,7,98,72,289,196,93,1
52,75,42,7,101,114,30,22,29,14,277,209,68,0
41,96,97,56,78,55,103,32,46,37,368,273,95,1
27,109,32,104,101,26,18,73,25,28,373,170,203,1
121,14,113,42,86,76,119,120,12,19,376,346,30,1
20,14,61,50,8,84,81,96,114,22,153,397,-244,1
74,20,101,72,40,1,27,9,47,99,307,183,124,1
8,5,15,26,97,114,93,14,25,86,151,332,-181,0
7,20,50,19,10,9,83,6,101,5,106,204,-98,1
23,93,58,76,27,129,14,7,10,8,277,168,109,1
3,14,29,59,50,86,21,42,26,23,155,198,-43,1
42,23,7,109,61,75,10,1,19,82,242,187,55,1
25,4,73,14,112,5,76,60,7,39,228,187,41,1
120,27,81,31,4,34,85,119,32,93,263,363,-100,1
10,88,11,81,114,91,46,113,35,96,304,381,-77,1
102,30,57,50,11,79,66,93,45,3,250,286,-36,1
55,99,30,50,19,1,108,105,3,88,253,305,-52,1
62,86,46,67,42,84,22,14,30,44,303,194,109,1
2,32,47,67,119,6,49,22,87,29,267,193,74,1
59,51,90,43,1,91,22,99,101,44,244,357,-113,1
74,64,44,9,32,6,2,21,48,22,223,99,124,1
14,121,11,4,49,36,90,59,95,22,199,302,-103,0
74,14,41,9,111,7,34,79,10,100,249,230,19,1
