5,17,44,28,74,34,60,8,19,84,1
14,41,71,100,110,93,83,40,27,106,1
74,16,84,12,9,13,63,40,104,48,1
102,46,80,26,22,14,5,77,86,106,0
32,25,89,56,38,42,80,6,106,101,1
50,106,52,12,104,1,120,37,18,70,1
114,2,111,57,44,8,104,9,14,21,0
70,93,7,119,14,33,51,74,100,48,1
84,4,35,103,79,45,8,63,86,47,1
8,99,14,74,91,41,26,35,75,22,1
14,17,74,98,7,91,26,10,104,51,0
101,48,75,32,51,30,104,25,16,6,1
90,61,16,77,71,44,84,28,120,105,1
60,14,90,89,22,76,20,84,6,48,1
12,61,87,7,26,39,72,80,111,23,0
36,26,8,31,40,71,10,68,7,77,1
93,120,104,30,101,14,41,43,64,105,0
106,36,68,18,14,104,28,59,41,6,0
50,14,121,41,34,56,106,120,16,1,0
44,34,60,22,13,21,14,9,41,74,1
32,76,20,44,50,7,74,8,114,2,1
32,50,44,2,40,35,70,110,74,14,1
14,75,42,86,32,114,35,22,7,9,1
35,98,5,21,102,86,69,72,52,4,1
26,114,93,99,22,19,14,44,82,2,1
37,21,90,82,42,60,9,5,93,56,1
111,59,23,84,40,92,83,6,104,66,0
40,1,11,26,13,47,110,9,85,8,0
83,23,56,44,71,86,52,41,75,62,1
32,17,8,25,30,62,84,34,101,50,1
129,93,86,75,1,44,74,13,84,7,0
42,119,102,17,86,82,26,22,9,93,1
89,57,7,73,18,25,20,83,70,35,1
30,72,14,104,35,99,97,82,41,110,1
102,40,87,18,101,104,64,50,38,4,0
12,108,119,75,9,63,6,30,20,97,1
54,13,50,110,16,101,64,12,56,90,0
74,12,14,26,32,23,4,38,5,9,0
86,121,99,8,14,17,78,104,84,42,1
73,16,14,9,35,104,22,84,111,74,0
6,76,108,26,14,61,29,22,95,9,1
43,75,50,7,23,41,107,21,28,101,0
8,61,52,77,32,71,90,82,13,21,1
120,14,75,76,104,114,44,48,108,53,1
27,100,63,101,81,86,6,22,108,96,1
98,106,74,41,86,79,76,11,72,14,1
33,119,9,15,93,11,120,106,5,14,1
9,62,35,105,70,14,72,112,27,36,0
44,75,121,25,91,73,114,74,83,59,1
17,8,90,108,121,9,104,43,1,27,0
14,73,75,110,17,6,59,29,111,28,0
7,14,6,26,11,74,58,13,54,50,1
29,2,73,66,112,11,42,49,102,37,0
41,22,74,64,104,6,42,90,14,44,0
50,91,49,99,35,93,26,14,105,101,0
111,84,10,52,104,92,74,50,25,62,1
102,42,100,59,5,14,101,46,1,107,1
107,4,14,31,76,1,5,57,59,111,1
59,14,62,53,94,101,102,84,63,114,0
46,87,114,86,102,96,54,14,121,74,1
85,76,54,104,25,46,75,7,14,10,0
37,84,6,38,76,102,106,90,9,72,0
7,14,84,106,32,22,76,42,120,89,1
98,34,27,53,26,110,67,10,7,102,1
74,52,27,54,104,86,44,61,23,9,1
50,32,28,21,100,101,104,76,62,90,1
46,67,8,16,52,105,68,81,101,89,0
112,76,95,84,120,4,60,90,101,27,0
104,25,111,89,114,28,105,23,34,18,0
106,72,99,90,27,30,129,60,58,120,1
106,14,10,7,5,104,41,86,25,68,1
46,101,41,30,16,48,7,14,63,10,1
76,14,91,98,32,12,112,9,35,43,1
75,106,48,68,41,19,5,14,6,92,0
99,25,22,90,106,114,64,20,17,23,0
84,42,50,14,25,105,64,2,22,93,1
30,63,29,74,15,60,21,14,8,86,1
104,93,34,16,86,68,14,75,84,56,0
20,7,9,17,41,86,36,93,84,32,0
32,82,81,121,107,44,74,104,34,26,1
